user_id,coins,daily,wins,losses,streak,best_streak,biggest_win,biggest_loss,duel_profits,steam_id
202732983910793217,6969,2023-03-16,23,15,1,5,873,60,3217,76561197968010552
202733364287897600,1498,2025-02-21,23,18,0,6,496,550,-378,76561198007713635
169759493075369984,442,2023-08-03,1,1,1,1,84,100,0,
144660135736770560,402,2025-02-24,29,15,0,10,1770,966,-761,76561198048942814
142139137456078848,585,2023-08-18,0,0,0,0,0,0,0,76561197988591838
223772885330821120,1840,2025-07-31,37,52,0,5,242,800,-223,76561198042332122
206614879799345152,11534,2024-02-26,4,0,4,4,5050,0,3799,76561198036885677
178826787302801409,69,2024-06-16,19,20,0,3,437,551,0,76561198014278146
134342821325963264,1443,2025-01-22,7,5,2,4,1045,100,0,
112843082780696576,69,2023-08-09,1,1,0,1,123,1690,-28,
146503053275561985,69,2024-02-26,3,1,1,2,304,2152,1548,76561198128707675
184517483040866304,635,2025-01-25,0,2,0,0,0,50,-50,76561198082828745
191569529426411521,4130,2023-11-20,0,0,0,0,0,0,-2913,
124977111256662017,304,2023-05-10,0,2,0,0,0,50,0,76561198043955200
187120750359085056,73,2024-06-16,10,11,0,7,344,363,0,
262894923425120258,69,2024-05-22,6,4,0,2,1280,2881,1345,
168631354240663552,635,2025-05-14,0,0,0,0,0,0,0,
280184367039381505,2023,2024-12-14,0,2,0,0,0,1000,-1290,76561198005615497
355477174595223563,2039,2025-03-21,0,2,0,0,0,952,-1140,
252341691162427392,733,2024-03-18,10,11,0,6,518,1397,1037,
158791623923335171,2527,2024-06-12,7,1,6,6,2186,100,0,
163594134064463872,69,2024-06-25,1,3,0,1,67,100,-570,
343327944501886976,748,2023-03-19,5,5,2,2,500,100,0,
196059992975998988,871,2024-09-04,2,2,1,1,803,264,0,
605757834730143766,221,2023-06-28,0,0,0,0,0,0,0,
79754259045810176,388,2023-04-25,0,0,0,0,0,0,0,
139654320432873472,193,2025-06-10,6,10,0,2,283,819,-1218,
104021098256924672,201,2023-06-24,6,9,0,2,685,593,0,
254542384262676481,605,2024-06-16,4,6,1,2,707,912,0,
321837676753846272,335,2023-07-16,0,0,0,0,0,0,0,
138408124531867649,102,2025-01-03,13,10,1,3,360,479,0,
129869889488945152,69,2024-06-16,0,2,0,0,0,335,0,
138118229762506752,69,2024-05-22,0,0,0,0,0,0,0,
138260062568185856,148,2024-06-16,0,1,0,0,0,200,0,
341883868422340620,169,2025-01-27,0,0,0,0,0,0,-258,
126858733740359680,853,2025-07-31,0,0,0,0,0,0,269,
